year,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Erotica,Fantasy,Girls Love,Gourmet,Hentai,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
0,116,121,2,0,4,132,80,8,4,244,4,3,0,3,15,43,49,17,15,20,6
1917,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0
1926,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1927,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1928,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1929,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1930,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1931,3,3,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0
1932,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
1933,5,4,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,3,0
1934,1,4,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0
1935,3,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
1936,4,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1937,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1940,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1941,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1942,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1943,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
