id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
2616,Sora Iro no Tane,The Sky-Colored Seed,CM,Picture book,3,Finished Airing,False,G - All Ages,5.75,28173,2413,9047,0,4718,Three short TV advertisements based on a children's book about a fox who gives a boy a seed which grows into a giant house.,,1992,1992-12-23,,Studio Ghibli,,1
2897,Nandarou,,CM,Other,1,Finished Airing,False,PG - Children,5.15,28205,1778,9768,0,3751,"A short TV advertising spot featuring a small green pig with enormous eyes. 

The title Nandarou implies that even its creators didn't really know what kind of creature it was supposed to be. However, NTV (Nihon TV) chose it as their station's mascot. 

(Source: ANN, Nausicaa.net)",,1992,1992-11-01,,Studio Ghibli,Comedy,2
5168,Asience: Kami wa Onna no Inochi,,CM,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,6.17,28539,2739,8556,4,5532,"A short revolving around the Japanese proverb: ""Hair is the heart of a woman"". Beautiful animation directed by Kazuto Nakazawa!",,2007,2007-03-01,,Production I.G,,3
8526,Honey Tokyo,Honey Tokyo,CM,Original,1,Finished Airing,False,G - All Ages,5.59,28754,1108,11230,0,2400,Small short to advertise the Tokyo Metropolitan area.,,2010,2010-04-01,,Studio 4°C,Sci-Fi,4
8792,Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,,CM,Other,1,Finished Airing,False,G - All Ages,6.21,28797,6212,6665,20,10198,Madobe Nanami is a computer store employee who instructs customers on how to magically assemble their PCs.  She also shows them some of the features of Windows 7.,,2010,2010-05-09,,Rising Force,Comedy,5
9777,Umacha,,CM,Original,2,Finished Airing,False,G - All Ages,4.99,28856,1125,10773,0,2748,"Animated videos, advertising ice tea manufactured by the Asahi Beverage Company.",,2001,2001-03-05,2001-05-18,Studio Ghibli,Slice of Life,6
13255,Haru wa Kuru,,CM,Original,1,Finished Airing,False,G - All Ages,5.7,28991,517,13956,0,1057,"A short promotional film for the Johnnie Walker whiskey brand, animated by STUDIO 4°C.",,2012,2012-01-27,,Studio 4°C,Adventure,7
13259,Kyoto Animation: Ajisai-hen,Hydrangea,CM,Original,1,Finished Airing,False,G - All Ages,5.63,28992,2778,8569,0,5508,Kyoto Animation commercial.,,2011,2011-06-01,,Kyoto Animation,,8
13309,Kyoto Animation: Hoshi-hen,Twinkling Stars,CM,Original,1,Finished Airing,False,G - All Ages,5.81,28994,2510,8967,0,4860,"An incomplete storyboard rests on a desk. Within it, are a boy and girl who suddenly jump to life and escape the confines of the sheet of paper in order to kickstart their story—one defined by their own actions. As they journey across the desk, the world around them begins to transform and signals the start of their vivid new adventure.

[Written by MAL Rewrite]",,2011,2011-08-19,,Kyoto Animation,Fantasy,9
13373,Kyoto Animation: Hana-hen,Flower,CM,Original,1,Finished Airing,False,G - All Ages,5.76,28997,2719,8831,0,5096,"In a vast and tranquil field, a rowdy group of children rush in with bright intentions. Armed with an array of gardening tools, packets of soil, trays of flowers, and a lively attitude to boot, the group sets upon a barren patch to begin their project.

[Written by MAL Rewrite]",,2010,2010-06-01,,Kyoto Animation,Slice of Life,10
13375,Kyoto Animation: Sora-hen,Sky,CM,Original,1,Finished Airing,False,G - All Ages,5.6,28998,2459,9052,0,4716,"High above a lush countryside, a group of young children are soaring through the sky. Equipped with jetpacks, they joyfully zip around the atmosphere, leaving trails of smoke in their wake.

[Written by MAL Rewrite]",,2010,2010-07-01,,Kyoto Animation,Slice of Life,11
13495,Tokyo Disney Resort: Yume ga Kanau Basho,Where Dreams Come True,CM,Original,1,Finished Airing,False,G - All Ages,6.09,29000,995,12130,1,1823,"Commercial for Tokyo Disney Resort, owned and operated by the Oriental Land Company (OLC), in celebration of its 30th anniversary on April 15, 2013.",,2012,2012-03-23,,Production I.G,Slice of Life,12
13563,The Four Seasons,,CM,Original,4,Finished Airing,False,G - All Ages,6.15,29004,921,11172,1,2435,"Created for Saitama Prefecture, the series' 7-minute episodes will promote tourist locations in the Prefecture.

Every episode will include a five-minute story segment that will showcase the prefecture in spring, summer, fall, or winter. Following each story, a two-minute explanation segment will include instructions on how to travel to featured areas from Tokyo by train.

Episodes will include the love story ""Sakura no Omoide,"" the gag comedy story ""Saitama Koukou Housou-bu ~Natsu no Kankou Annai~,"" the fantasy story ""Yuusha Higan to Hime-sama no Bouken,"" and the family story ""Winter sweet home."" The anime's four episodes will be available in Japanese with subtitles in Japanese, English, Chinese (traditional and simplifed), Korean, and French. Eight people living or working in Saitama were selected from 223 applicants to voice act in the series. 

(Source: ANN)",,2012,2012-03-28,,P.A. Works,Slice of Life,13
13691,Taisei Kensetsu CMs,,CM,Original,6,Finished Airing,False,G - All Ages,5.9,29007,2238,9440,0,4147,30-second animated commercials for the construction company Taisei.,,2008,2008-12-10,2020-03-20,CoMix Wave Films,Drama,14
13965,Thermae Romae x LOFT Collaboration,,CM,Unknown,4,Finished Airing,False,PG-13 - Teens 13 or older,5.7,29014,295,14158,1,1005,"Lucius ends up at the Japanese chain store called LOFT, where he realizes the fun found in modern-day shopping.",,2012,2012-01-01,,DLE,Comedy,15
13967,Thermae Romae x Asahi Shimbun Digital Collaboration,,CM,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.85,29015,320,14034,0,1039,"Lucius ends up at a local electronics store, where he sees an iPad 2 for the first time.",,2012,2012-01-01,,DLE,Comedy,16
13969,Thermae Romae x Yoyogi Animation Gakuin Collaboration,,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.22,29016,1180,11341,0,2323,"Lucius ends up at Yoyogi Animation Academy, where he experiences a guided tour of the academy, learning various aspects of animation along such as moe and after-recording along the way.",,2012,2012-07-09,,DLE,Comedy,17
16331,Next A-Class,,CM,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,6.37,29064,4809,7080,9,8836,"In the not so distant future, to cope with the traffic jams and verticalization due to the increased population, the city of Tokyo was reconstructed under the theme of city sharing in which people share the urbane space by transforming the roads and city structure by time of the day. A woman named Nico is walking in the city. She is having her long-awaited day off; however, she does not know what to do and who to hang out with. She hopes an exciting thing suddenly happens.

Then, a truck passes right before her eyes. The loud music and flashy decoration of the vehicle reminds Nico the car it that everyone's talking about on the internet. As soon as Nico sees it, she runs after it, then runs into Gatsu and Makito. Nico gets in their latest A-Class and they chase after the truck driving through the city that is changing its form rapidly.

(Source: AniDB)",,2012,2012-11-17,,Production I.G,Action;Sci-Fi,18
16964,Inazuma Eleven Go: TCG CM NG-shuu,,CM,Game,1,Finished Airing,False,G - All Ages,6.68,29073,1315,9908,1,3563,Compilation and bloopers of the Inazuma Eleven Go Trading Card Game commercials presented by Wonderbot.,,2012,2012-11-22,,OLM,Comedy,19
17791,Kyoto Animation: Ikitaku Naru Omise-hen,Attractive shop,CM,Original,1,Finished Airing,False,G - All Ages,6.31,29090,2979,8224,5,6050,Kyoto Animation commercial for the Kyoto Animation Shop.,,2012,2012-07-01,,Kyoto Animation,Sci-Fi,20
17811,Kyoto Animation: Hassou-hen,Imaginations,CM,Original,1,Finished Airing,False,G - All Ages,5.68,29091,2386,9086,0,4666,"While waiting in a park for someone to arrive, a certain person's mind begins to wander: in daydreams and visions, they watch parts of their surroundings transform into the one they await as they descend into these fantasies.

[Written by MAL Rewrite]",,2012,2012-04-01,,Kyoto Animation,Fantasy,21
17813,Kyoto Animation: Megane-hen,Glasses,CM,Light novel,1,Finished Airing,False,G - All Ages,6.29,29092,6062,5984,6,13294,Kyoto Animation commercial for the light novel series Kyoukai no Kanata.,,2012,2012-05-21,,Kyoto Animation,Supernatural,22
17815,Kyoto Animation: Kasa-hen,Umbrella,CM,Original,1,Finished Airing,False,G - All Ages,6.13,29093,2530,8918,0,4955,Kyoto Animation commercial.,,2012,2012-06-01,,Kyoto Animation,Fantasy,23
17819,Kyoto Animation: Suiei-hen,Swimming,CM,Original,1,Finished Airing,False,G - All Ages,6.98,29094,7374,5811,8,14352,Kyoto Animation commercial that aired during episode 10 of Tamako Market.,,2013,2013-03-07,,Kyoto Animation,Sports,24
18003,Thermae Romae x TOTO Collaboration,,CM,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.92,29104,406,13738,0,1120,"Lucius ends up at the presentation of bathroom and toilet equipment by Japanese toilet manufacturer TOTO, where he learns about the most recent technological advances in that field.",,2012,2012-04-26,,DLE,Comedy,25
18841,PES: Peace Eco Smile - Drive your Heart,,CM,Original,1,Finished Airing,False,G - All Ages,4.86,29124,601,13478,0,1206,Special spin-off episode that aired between episodes three and four of the original PES series. Is also an ad to Toyota's new Vios vehicle.,,2012,2012-05-23,,Studio 4°C,Romance;Sci-Fi,26
