id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
39486,Gintama: The Final,Gintama: The Very Final,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,9.04,7,77306,1539,4419,161659,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]",,2021,2021-01-08,,Bandai Namco Pictures,Action;Comedy;Drama;Sci-Fi,1
28851,Koe no Katachi,A Silent Voice,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.93,18,1678061,20,90729,2431231,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.
 
[Written by MAL Rewrite]",,2016,2016-09-17,,Kyoto Animation,Award Winning;Drama,2
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.9,21,138720,1029,2122,247849,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]",,2013,2013-07-06,,Sunrise,Action;Comedy;Sci-Fi,3
37987,Violet Evergarden Movie,Violet Evergarden: The Movie,Movie,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,8.85,27,299406,343,9126,653613,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.

Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.

[Written by MAL Rewrite]",,2020,2020-09-18,,Kyoto Animation,Award Winning;Drama,4
32281,Kimi no Na wa.,Your Name.,Movie,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,8.83,29,1967137,11,92331,2847096,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",,2016,2016-08-26,,CoMix Wave Films,Award Winning;Drama,5
31758,Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded,Movie,Light novel,1,Finished Airing,False,R - 17+ (violence & profanity),8.78,34,280915,493,7799,481703,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. 

Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.

But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?

Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…

[Written by MAL Rewrite]",,2017,2017-01-06,,Shaft,Action;Mystery;Supernatural,6
199,Sen to Chihiro no Kamikakushi,Spirited Away,Movie,Original,1,Finished Airing,False,PG - Children,8.77,36,1342036,44,33735,1919273,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]",,2001,2001-07-20,,Studio Ghibli,Adventure;Award Winning;Fantasy,7
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War -The First Kiss That Never Ends-,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.75,47,170922,837,2073,308763,"After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.

While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love.

[Written by MAL Rewrite]",,2022,2022-12-17,,A-1 Pictures,Comedy;Drama;Romance,8
45649,The First Slam Dunk,,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.74,50,25627,3040,837,58145,"Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.

In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.

(Source: GKIDS, edited)",,2022,2022-12-03,,Toei Animation;DandeLion Animation Studio,Award Winning;Sports,9
58125,Look Back,,Movie,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.69,67,63708,1867,2363,126277,"Ayumu Fujino may only be in the fourth grade, but she already basks in high praise for her hand-drawn four-panel comics featured in the school's newspaper. However, when she is asked to share the page with Kyoumoto—a reclusive student she has never met—Fujino feels inadequate for the first time: her free-spirited drawings look embarrassingly amateurish next to Kyoumoto's breathtakingly detailed art.

For a year, Fujino shuts out the world, obsessively studying manga creation and drawing tirelessly to catch up to her faceless competition. But Kyoumoto's talent far exceeds hers, and Fujino quits it all. Another year passes, and on the day of their graduation, Fujino finally meets Kyoumoto. This unkempt, shy, and stuttering girl has actually been Fujino's biggest fan all along. Their encounter reignites Fujino's passion for art and sparks the beginning of a years-long friendship built on rivalry, admiration, and their shared love of manga.

[Written by MAL Rewrite]",,2024,2024-06-28,,Studio DURIAN,Drama,10
