id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
1047,On Your Mark,On Your Mark,Music,Original,1,Finished Airing,False,G - All Ages,7.46,28002,20050,3651,103,41482,"In a post-apocalyptic future, a police raid devastates the imposing headquarters of a religious cult. Upon evaluating the casualties, two officers discover a winged girl lying unconscious in chains and attempt to resuscitate her. However, she barely awakens before a group of specialists wearing protective suits hastily takes her away.

Disappointed to see the angel-like being end up in confinement again, the policemen resolve to set her free and start making the necessary preparations. Despite the need to infiltrate a restricted research facility, there is no stopping the duo from readily throwing themselves into a deadly rescue mission.

[Written by MAL Rewrite]",,1995,1995-06-29,,Studio Ghibli,Drama;Sci-Fi,1
1890,Clover,,Music,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.75,28058,6858,5871,16,13947,"Suu is a Four Leaf Clover. Her power is unrivaled, yet all she has known her whole life is loneliness. One day, a man named Kazuhiko appears and accompanies Suu for her first and last journey, to the place where she can find happiness.",,1999,1999-08-21,,Madhouse,Drama;Fantasy;Sci-Fi,2
1958,Wish,,Music,Manga,1,Finished Airing,False,G - All Ages,6.54,28061,4588,7223,6,8438,"The third of four animated CLAMP music videos, the others being Clover and CLAMP in Wonderland. This one is based on the manga ""Wish.""

""Wish"" is about 28-year-old Shuichiro Kudo, a doctor who stumbles across Kohaku, one of God's angels. When he inadvertently saves their life from one of the devil's servants, Kohaku decides to grant him a wish to repay him for his kindness. However, upon discovering that Shuichiro has no wish, Kohaku devotes themself to him, vowing to serve him until he has a wish that they can grant. However, both discover that there are some wishes that can't be granted by oneself.

(Source: ANN)",,1997,1997-12-17,,Shelty,,3
1998,Amazing Nuts!,,Music,Original,4,Finished Airing,False,G - All Ages,6.45,28062,4632,6793,13,9777,"Amazing Nuts! is an anthology of four animated shorts with each featuring its own distinct animation style and music by Studio 4°C.

1. Global Astroliner Gou
2. Glass Eye
3. Kung-Fu Love
4. Joe and Marilyn",,2006,2006-12-20,,Studio 4°C,Adventure;Mystery;Romance;Sci-Fi,4
2274,CLAMP in Wonderland,,Music,Manga,1,Finished Airing,False,G - All Ages,6.83,28091,10589,5235,8,18785,"A short video set to music featuring many of CLAMP's most popular anime and manga characters (at the time of its production). The accompanying song tells of a Wonderland filled with imagination, magic, and dreams.

(Source: ANN)",,1994,1994-11-21,,animate Film,,5
2728,TWO-MIX: White Reflection,,Music,Music,1,Finished Airing,False,G - All Ages,6.75,28176,1648,10899,2,2645,"A music video to Two-Mix's ""White Reflection""; the group, in animated form, notices a strange light and follows it to various locations.",,1997,1997-03-13,,OLM,,6
2729,X²: Double X,,Music,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.49,28177,2751,8137,7,6221,"X²: Double X is a short (two minutes and forty seconds long) prequel to the theatrical X film. It is a part of four music videos.

The first three are stills of CLAMP's pre-1994 X artwork and live-action sequences. The fourth is animated by Madhouse. Being the only music video that contains actual plot, the fourth video introduces some of the major characters and quickly lashes through the first few X manga (equivalent to X TV series episodes 1–3) which take place before the theatrical movie.

(Source: ANN, edited)",,1993,1993-11-21,,Madhouse,Drama,7
2768,CLAMP in Wonderland 2,,Music,Manga,1,Finished Airing,False,G - All Ages,7.42,28178,11773,5004,26,21036,A short animation which features clips from all of CLAMPs works between 1995 and 2006.,,2007,2007-10-26,,Madhouse,Action;Comedy;Drama;Fantasy;Romance,8
2953,Egao,,Music,Original,1,Finished Airing,False,G - All Ages,6.43,28213,8594,5856,7,14051,"A young woman brought a hamster back to her apartment. While watching the cuteness of the hamster was enjoyable, she suddenly recalled her boyfriend she used to have....

(Source: ANN)",,2003,2003-04-01,,,Slice of Life,9
3506,Connected,Connected,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,5.95,28292,2758,9123,3,4611,"Music video by Ayumi Hamasaki, created by Studio 4°C.",,2002,2002-01-01,,Studio 4°C,Avant Garde;Sci-Fi,10
3507,Survival,,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,6.23,28293,2476,9302,3,4340,"Music video by Glay, created by Studio 4°C",,1999,1999-05-19,,Studio 4°C,Avant Garde;Drama;Supernatural,11
3525,Extra,Extra,Music,Original,1,Finished Airing,False,R - 17+ (violence & profanity),5.97,28294,3002,8787,6,5155,"Animation veteran and Studio 4°C collaborator Koji Morimoto teamed up with techo artist Ken Ishii for this AMV.

""EXTRA"" is a random cross talk about computer, music, images, and Internet by two authors working on their first collaboration in techno music and animation. This short animation which is stored on CD-ROM and immediately shakes the viewer with question as to what the word of the title, ""EXTRA,"" means.

(Source: AniDB)",,1995,1995-01-01,,Studio 4°C,Action;Avant Garde;Horror;Sci-Fi,12
3642,Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,,Music,Manga,4,Finished Airing,False,R+ - Mild Nudity,5.97,28338,1846,8486,8,5647,"Music video based on a seinen manga by Nakayama Bunjuurou serialised in Dengeki Daioh.

The series revolves around the legendary demon lord Exoda Zero Crown whom has been revived when an eclipse forms the Exoda Ring and the demonic island, Shina Dark, rises once again. Kingdoms and villages from around the world send over a thousand sacrificial maidens to the island in an attempt to satisfy the demon lord's legendary lust and protect their lands from the unspeakable destruction he will bring. However, the legends are false, Exoda does not possess such lust, and is not interested in destroying the world. He's quite happy to live in peace and go fishing on the weekends. More than one thousand girls on his island are now unable to return to their homelands, as by coming to Shina Dark, they are seen to be tainted brides of Exoda by others. As a result, Exoda decided to create a nation to give the abandoned girls a new life in a new country, Shina Dark. 

(Source: AniDB)",,2008,2008-03-21,,Shaft,Fantasy;Ecchi,13
3685,4-Day Weekend,,Music,Original,1,Finished Airing,False,G - All Ages,5.62,28347,2089,10034,1,3432,Music video for the song Four-Day Weekend by a British indie rock band The Bluetones from their album Return to the Last Chance Saloon.,,1998,1998-12-18,,Studio 4°C,,14
3818,Soratobu Toshi Keikaku,Project: City Flying in the Sky,Music,Original,1,Finished Airing,False,G - All Ages,5.98,28359,1281,11593,2,2157,"Third animated music video for music by capsule based around their NEXUS-2060 concept—a space station resort in the year 2060. Produced by Ghibli offshoot Studio Kajino, with MOMOSE Yoshiyuki (百瀬ヨシユキ) directing. The song was released on September 7, 2005 as Side A of a single titled Aeropolis, and the animation was first shown on September 10, 2005 as a double bill with the live-action Touch movie.",,2005,2005-09-10,,Studio Kajino,Sci-Fi,15
3820,Space Station No.9,,Music,Original,1,Finished Airing,False,G - All Ages,5.66,28360,1808,9999,3,3467,Second animated music video for music by capsule based around their NEXUS-2060 concept - a space station resort in the year 2060.,,2005,2005-05-01,,Studio Kajino,Sci-Fi,16
3821,Portable Kuukou,Portable Airport,Music,Original,1,Finished Airing,False,G - All Ages,5.55,28361,1528,10288,0,3164,"A 3 minutes long animated film produced by Studio Kajino, a small studio related to Studio Ghibli, was shown in a double feature prior to the Cutie Honey Live-Action movie. Supervision was done by Yoshiyuki Momose, director of the Ghiblies.

To be released 16th November 2004 on the ""Ghibli ga Ippai Special Short Short"" DVD, together with other Ghibli-Shorts like Sorairo no Tane, On Your Mark, Space Station No.9, Nandaro and Various Commercials.",,2004,2004-05-29,,Studio Kajino,Sci-Fi,17
4012,First Squad,,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,5.77,28405,3926,7608,4,7325,"Music video for the song First Squad by Legalize, created by Studio 4°C.",,2005,2005-03-20,,Studio 4°C,Action,18
4126,Mahou no Tenshi Creamy Mami: Lovely Serenade,Mahou no Tenshi Creamy Mami: Lovely Serenade,Music,Unknown,1,Finished Airing,False,G - All Ages,5.72,28411,394,13790,0,1102,An anime music video with songs from the anime series.,,1985,1985-03-28,,Pierrot,,19
4129,Mahou no Tenshi Creamy Mami: Curtain Call,Mahou no Tenshi Creamy Mami: Curtain Call,Music,Unknown,1,Finished Airing,False,G - All Ages,5.82,28413,684,13067,0,1344,"A collection of music videos, some are new original songs, others are classics from the series.",,1986,1986-02-01,,Pierrot,Comedy,20
4158,Dore Dore no Uta,,Music,Original,1,Finished Airing,False,G - All Ages,5.69,28416,1701,10106,0,3352,An animated music video made for Meiko Haigou by Studio Ghibli. Included on the Ghibli ga Ippai Special Short Short DVD.,,2005,2005-11-16,,Studio Ghibli,,21
4467,Universe,,Music,Original,1,Finished Airing,False,G - All Ages,6.41,28441,1352,11215,1,2409,"Music video for the song Universe by Maaya Sakamoto.

Under the night sky feebly illuminated by innumerable twinkling stars, a little girl wanders alone through a magic world between darkness and dawan, that is not today and not tomorrow, inhabited by 6 billion solitudes. What will she encounter in this solitary night journey?",,2007,2007-03-21,,Production I.G,Fantasy,22
4689,Kaze no Toori Michi,The Path of Wind,Music,Original,1,Finished Airing,False,G - All Ages,5.97,28480,1637,9550,2,3994,Animated video for Horishita Sayuri's Kaze no Toori Michi produced for NHK's Minna no Uta.,,2004,2004-12-08,,Studio Ghibli;Ajia-do,,23
4705,Tengen Toppa Gurren Lagann: Parallel Works,Gurren Lagann: Parallel Works,Music,Original,8,Finished Airing,False,PG-13 - Teens 13 or older,7.07,28488,17258,3982,21,34725,"An anthology of animated shorts featuring characters from Gurren Lagann in alternative worlds. Every clip is animated by a particular animator of GAINAX.

Creators are Akira Amemiya, Shin Itagaki, Hirokazu Kojima, SUEZEN, Ryouji Masuyama, Hiroyuki Yamaga, Yoh Yoshinari, and Keisuke Watanabe.",,2008,2008-06-15,2008-09-14,Gainax,,24
4890,Peut-etre Toi,Maybe You,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,6.3,28523,1502,11006,5,2558,"Peut-etre Toi is a 4 minutes short music video produced by Production I.G and Geneon Entertainment.

A unknown hero rescues his beloved who was held captive by humanoid-looking machines.",,2006,2006-07-15,,Production I.G,,25
5016,Fluximation,,Music,Original,14,Finished Airing,False,R+ - Mild Nudity,6.41,28525,1843,9574,1,3967,"14 short music videos for Utada Hikaru's album ""Exodus"". 

Directed by Koji Morimoto, Kazuto Nakazawa, Hideki Himura, Hiroyuki Kitakubo, Jiro Kanai, Yoshiharu Ashino, Yasuhiro Aoki, Atsuko Fukushima, Tatsuyuki Tanaka, Daisuke Nakayama. 

(Source: AniDB)",,2005,2005-09-20,,Studio 4°C,,26
5017,Yume no Kakera,,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.08,28526,747,13056,0,1348,"Music video for Eri Nobuchika's song, Yume no Kakera, directed by Daisuke Nakayama of Studio 4°C.

(Source: AniDB)",,2006,2006-01-03,,Studio 4°C,,27
5158,Noisy Birth,,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,4.66,28536,3162,8658,0,5362,"A music video from Yoshiura Yasuhiro, done in year 2000. Music is done by Shibata Yuki.",,2000,2000-01-01,,,Avant Garde,28
5263,Tomorrow's Song,,Music,Original,1,Finished Airing,False,G - All Ages,5.89,28553,489,14549,0,900,"An animated video for GOING UNDER GROUND's ""Tomorrow's Song"" single, aired at NHK's Minna no Uta.",,2005,2005-08-03,,,,29
6137,Tsuki no Waltz,,Music,Original,1,Finished Airing,False,G - All Ages,6.41,28662,1593,10685,4,2827,"First ""professional"" animation work by Atsuko Ishizuka of MADHOUSE. It was done and broadcast as an episode of NHK's Minna no Uta.",,2004,2004-10-01,,Madhouse,,30
6215,Dr.,,Music,Original,1,Finished Airing,False,G - All Ages,6.05,28664,1375,10664,0,2846,"The video's story is set in the year 3000 on an Earth that has been reduced to ruins by weapons of mass destruction and environmental destruction. An animated alter-ego of Amuro is the lone survivor who wants to restore the once beautiful planet. She attempts to ""convey a message of 'world peace' that transcends time"" to the 21st century through a time-slip. A girl living in the present (as represented by another alter-ego of Amuro) receives that message of world peace.

(Source: ANN)",,2009,2009-03-14,,Sunrise,Action;Adventure;Sci-Fi,31
6399,Higashi no Eden: Falling Down,,Music,Other,1,Finished Airing,False,G - All Ages,7.34,28670,7880,5822,16,14274,"Music video by Oasis, animated by Production I.G

The song is also featured as the opening theme song in the anime series, Higashi no Eden, which is also animated by Production I.G.",,2009,2009-05-27,,Production I.G,,32
6533,Atarashii Sekai,New World,Music,Unknown,1,Finished Airing,False,G - All Ages,6.46,28675,1841,10137,6,3322,"Official animated video to the Asian Kung-Fu Generation song ""Atarashii Sekai"" from their fourth album, World World World.",,2008,2008-03-05,,Studio 4°C,,33
6548,Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,7.11,28676,17403,4174,27,31583,"A music video for the song ""S.t.a.r.S"" featuring Marina Inoue as Yoko.",,2009,2009-05-27,,Gainax,Ecchi,34
6666,Passion,,Music,Unknown,1,Finished Airing,False,G - All Ages,6.48,28681,1890,10168,5,3288,Hikaru Utada's animated music video produced by Studio 4°C.,,2005,2005-12-14,,Studio 4°C,,35
6667,Love to Live By,,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.55,28682,886,12537,1,1586,m-flo Loves Chara's animated music video for the song Love to Live By.,,2007,2007-01-01,,Studio 4°C,,36
6749,Tennis no Oujisama: The Band of Princes Film Kick the Future,,Music,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.88,28690,2391,8571,18,5506,"Kunimitsu Tezuka returns to Japan from Germany following a rehabilitation stint that sidelined him from his band. Meanwhile, the members of Aozu and Cap to Bin are preparing for a joint concert, but they cannot help but feel as though something is missing. When Tezuka reunites with the other eight members, they all vow to make it the best show ever.

[Written by MAL Rewrite]",,2003,2003-12-21,,Production I.G;Trans Arts,,37
6777,Densha Kamo Shirenai,The Evening Traveling,Music,Music,1,Finished Airing,False,G - All Ages,5.54,28691,603,14050,3,1032,"Black-and-white music video for the song ""Densha Kamo Shirenai"" by a Japanese folk band Tama (たま). Directed by Akino Kondoh.",,2002,2002-06-01,,,,38
6856,Aoi Chou,,Music,Unknown,1,Finished Airing,False,G - All Ages,5.24,28692,754,13257,2,1279,"Music video for Bajune Tobeta's song ""Aoi Chou"".",,2008,2008-11-05,,,,39
7295,Koi Tsubomi,,Music,Original,1,Finished Airing,False,G - All Ages,6.26,28711,1260,11742,2,2059,An animated music video for Oku Hanako's song Koi Tsubomi.,,2006,2006-02-15,,,Fantasy,40
7296,Michi (2004),,Music,Original,1,Finished Airing,False,G - All Ages,5.25,28712,450,14883,0,815,An animated video music video for Yumirose's song Michi.,,2004,2004-04-07,,,,41
7415,Mukougaoka Chisato wa Tada Mitsumeteita no Datta,,Music,Original,1,Finished Airing,False,G - All Ages,6.06,28715,946,12453,6,1634,"A portrait of emotion. Chisato tries to remember and stay at a moment, through music.",,2009,2009-06-30,,,,42
