id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
44074,Shiguang Dailiren,Link Click,ONA,Original,11,Finished Airing,False,PG-13 - Teens 13 or older,8.73,51,156508,602,12813,408296,"It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client's request.

But every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do.

[Written by MAL Rewrite]",,2021,2021-04-30,2021-07-09,LAN Studio,Drama;Mystery;Suspense,1
57864,Monogatari Series: Off & Monster Season,Monogatari Series: Off & Monster Season,ONA,Light novel,14,Finished Airing,False,R - 17+ (violence & profanity),8.71,59,26772,2520,764,80856,"Koyomi Araragi spent his last year of high school helping girls in his town resolve various supernatural afflictions. But now Araragi has departed for university, leaving his friends to fend for themselves against new problems and curses that plague them. Yotsugi Ononoki, once a human corpse and now a living doll, takes residence in Araragi's home, keeping watch over his sister Tsukihi, a girl harboring a mystical secret of her own. As part of her duties, Yotsugi fills Araragi's vacated role as occult expert, assisting others in town with their issues.

One of these girls, middle school student Nadeko Sengoku, slowly recovers from her own recent brushes with the paranormal. She avoids returning to school, instead spending time alone in her room and pursuing her dream of becoming a professional manga artist. In order to speed up Nadeko's quest for mastery of her craft, Yotsugi convinces her to create four copies of herself, each representing a distinct aspect of Nadeko's personality. However, the clones refuse to help Nadeko, instead escaping into the town and creating a chaotic mess. Now forced to grapple with her own fractured sense of identity, Nadeko sets out to capture them and resolve her inner conflict.

[Written by MAL Rewrite]",,2024,2024-07-06,2024-10-19,Shaft,Comedy;Mystery;Supernatural,2
56752,Shiguang Dailiren: Yingdu Pian,Link Click: Bridon Arc,ONA,Original,6,Currently Airing,True,PG-13 - Teens 13 or older,8.71,60,2250,4187,188,31198,"To save the deceased Cheng Xiaoshi, Lu Guang returns to the beginning, retracing the path of destiny. However, a photo containing clues about Cheng Xiaoshi's parents appears in the ""Time Photo Studio."" To uncover the truth, Lu Guang nervously travels to Bridon with Cheng Xiaoshi. Friendly top model Xia Fei, the eccentric leader of Chinatown, Vein, and the mysteriously appearing Liu Xiao... Faced with people harboring different motives, can Lu Guang break the fated deadlock?

(Source: Crunchyroll)",,2024,2024-12-27,,CMC Media,Drama,3
40434,Mo Dao Zu Shi: Wanjie Pian,The Master of Diabolism 3,ONA,Web novel,12,Finished Airing,False,R - 17+ (violence & profanity),8.68,69,30392,2426,1666,86021,"Along an empty road in the rural countryside, Wei Wuxian and Lan Wangji stumble across a stone plaque that reads ""Yi City."" Still on their quest to unravel the mystery behind the cursed severed arm, they venture into the deserted city to obtain further leads.

However, with the appearance of a mysterious new cultivator, the demonic arm investigation leads Wei Wuxian and Lan Wangji to a plot that threatens the cultivation world as they know it. The gravity of the new situation escalates when the two find it involves the chief cultivator of the renowned Lanling Jin Sect—Jin Guangyao.

As the pair continue to piece together the crucial conspiracies of the cultivation history, their friends and colleagues grow suspicious of their motives. With the world against him, Wei Wuxian must prove he is not the demonic sorcerer people believe him to be to regain their trust and save the cultivation world from the sinister evil lurking within it.

[Written by MAL Rewrite]",,2021,2021-08-07,2021-10-16,B.CMAY PICTURES,Action;Adventure;Drama;Fantasy;Mystery,4
50399,Tian Guan Cifu Er,Heaven Official's Blessing Season 2,ONA,Web novel,12,Finished Airing,False,PG-13 - Teens 13 or older,8.66,75,18278,3226,1150,51724,"Although most gods in the heavenly realm avoid dealing with the forgotten god Xie Lian, Heavenly Emperor Jun Wu holds him in good graces. Xie Lian's luck is otherwise terrible, and adding to his troubles, the gods seem to suspect that Xie Lian's recent companion was the dreaded Ghost King Hua Cheng. Despite what others may think of him, Xie Lian fondly recalls Hua Cheng's promise: the next time they meet, Hua Cheng will appear in his true form.

Jun Wu informs Xie Lian of the unsettling news that a god's distress signal was seen coming from the Ghost City—the most prosperous place in the ghost realm, where the only law is Hua Cheng himself. As Xie Lian has no qualms about stepping into Hua Cheng's territory, he infiltrates the city to locate the lost god. There, the genuine Hua Cheng is already waiting. He is the most feared being across the three realms, yet before Xie Lian, his arrogance erodes. Without revealing the reason for his generosity, he spares no power or means to ease the burdens of Xie Lian's endlessly unfortunate past.

[Written by MAL Rewrite]",,2023,2023-10-18,2024-01-17,Red Dog Culture House,Action;Adventure;Drama;Fantasy,5
49413,Shiguang Dailiren II,Link Click Season 2,ONA,Original,12,Finished Airing,False,R - 17+ (violence & profanity),8.64,83,56550,1799,1784,132354,"The attempt to capture the mysterious perpetrator who possesses people ends tragically: Lu Guang is rushed to the hospital in a critical state, while Cheng Xiaoshi is arrested for the alleged crime. In light of recent events, the father of Liu Min unleashes his skilled, ruthless lawyer—Qian Jin—after Police Chief Li Xiao, who is spearheading the investigation related to the photo studio owned by Qiao Ling.

It appears that no one is safe from the unpredictable and fatal attacks of the adversary who painstakingly hides their identity. As he tries to learn from his past mistakes, Cheng Xiaoshi must act swiftly and decisively to put an end to this devastating trail of death.

[Written by MAL Rewrite]",,2023,2023-07-14,2023-09-22,LAN Studio,Drama;Mystery;Suspense,6
42310,Cyberpunk: Edgerunners,,ONA,Game,10,Finished Airing,False,R+ - Mild Nudity,8.61,95,582297,220,28902,858949,"Dreams are doomed to die in Night City, a futuristic Californian metropolis. As a teenager living in the city's slums, David Martinez is trying to fulfill his mother's lifelong wish for him to reach the top of Arasaka, the world's leading security corporation. To this end, he attends the prestigious Arasaka Academy while his mother works tirelessly to keep their family afloat.

When an incident with a street gang leaves David's life in tatters, he stumbles upon Sandevistan cyberware—a prosthetic that grants its wearer superhuman speed. Fueled by rage, David implants the device in his back, using it to exact revenge on one of his tormentors. This gets him expelled from the academy, shattering his hopes of ever making his mother proud.

After witnessing David's newfound abilities, the beautiful data thief Lucyna ""Lucy"" Kushinada offers to team up with him, handing him a ticket to salvation. However, associating with Lucy introduces David to the world of Edgerunners—cyborg criminals who will break any law for money. Edgerunners often lose their lives, if the cyberware does not break their minds first; but in his fight for survival inside a corrupt system, David is ready to risk it all.

[Written by MAL Rewrite]",,2022,2022-09-13,,Trigger,Action;Sci-Fi,7
49701,Doupo Cangqiong: San Nian Zhi Yue,Fights Break Sphere: Three Year Agreement,ONA,Novel,13,Finished Airing,False,PG-13 - Teens 13 or older,8.57,111,4038,7143,189,8623,"Three years ago, Na lan Yan Ran dropped her engagement, which made the Xiao family a laughing stock in the eyes of the Empire. Xiao Yan trained for three whole years through mountains and deserts to regain his honor. He will prove by himself that everything in this world can be changed, so do not underestimate the young. Today he will put an end to the history of his past, because the future awaits him!",,2021,2021-10-31,2022-01-16,Motion Magic,Action;Fantasy,8
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,JoJo's Bizarre Adventure: Stone Ocean Part 3,ONA,Manga,14,Finished Airing,False,R - 17+ (violence & profanity),8.53,128,155103,1095,3141,235753,"After finally escaping the confines of Green Dolphin Street Jail, Jolyne Kuujou—alongside her companions Ermes Costello and Emporio Alniño—pursues the villainous priest Enrico Pucci across the state of Florida. Jolyne's allies, Weather Report and Narciso Anasui, struggle to catch up with her in order to help bring an end to Pucci's plot. As both parties pursue the priest, they must battle against Pucci's band of enemy Stand users.

While Jolyne's comrades fight for their lives, Pucci races to the Kennedy Space Center. There he hopes to enact his ultimate goal, one he believes God has entrusted to him. He aims to fulfill the will of the Joestars' blood enemy Dio Brando and—by robbing humanity of free will and making them slaves to fate—to create a world where all humans are blissfully happy.

Unable to rely on the aid of her comatose father Joutarou, Jolyne must weaponize all she has learned in prison to confront Pucci in a climactic battle while the world itself hangs in the balance.

[Written by MAL Rewrite]",,2022,2022-12-01,,David Production,Action;Adventure,9
56538,Kimi ni Todoke 3rd Season,Kimi ni Todoke: From Me to You Season 3,ONA,Manga,5,Finished Airing,False,PG-13 - Teens 13 or older,8.52,137,23546,2523,626,80639,"Summer is in full swing, and so is the love between Sawako Kuronuma and Shouta Kazehaya. From attending summer school together to meeting each other's parents, the two enjoy quality time together while tackling the feelings of self-doubt and emotional strain that come with their newfound love.

Meanwhile, Sawako's close friends, Chizuru Yoshida and Ayane Yano, struggle through their own romantic dilemmas as their past experiences with relationships clash with their present feelings. Full of inner turmoil, the youngsters' desire for intimacy persists through their second year of high school as they weave through the labyrinth of indecision and insecurity that is love. 

[Written by MAL Rewrite]",,2024,2024-08-01,,Production I.G,Drama;Romance,10
