id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
5415,La Rose de Versailles,,PV,Manga,1,Finished Airing,False,G - All Ages,5.67,28572,981,9758,5,3758,"Toei Animation announced the new movie based on the classic anime and manga. This project is most likely canceled and a trailer is all that remains, which is what this entry encompasses.",,2007,2007-01-01,,Toei Animation,Drama;Romance,1
9662,Timing,,PV,Web manga,1,Finished Airing,False,R - 17+ (violence & profanity),5.26,28848,257,14052,0,1031,"The Japanese-Korean horror movie should have been released in 2012, but the project got canceled after Korean investors could not be determined. A six-minute promotional video is what's left of it of this attempted co-production.

Timing holds the story of four characters with abilities related with time, fighting to stop the tragedies occurring in a high school.

(Source: Hancinema)",,2010,2010-10-01,,,Horror,2
10679,Maria†Holic: Runrun Riru Ranran Rara,,PV,Manga,1,Finished Airing,False,PG - Children,5.66,28903,1838,9214,2,4490,The Maria Holic's official website put this video on its homepage on Children's Day.,,2011,2011-04-28,,Shaft,Comedy,3
12867,Tsuki no Sango,Coral of the Moon,PV,Other,1,Finished Airing,False,G - All Ages,6.19,28971,2014,8175,7,6141,"The story takes place in approximately the year 3000, when humankind arrived at the peak of its civilization, but is losing its will to keep living. It follows a girl, called ""princess"" by those around her, who lives on a small island with a fifty-person colony and a shining coral reef. She is a descendant of the Moon people, and the story focuses on how her ancestors supposedly came to Earth.",,2010,2010-12-21,,ufotable,Drama,4
13517,Ryuugajou Nanana no Maizoukin PV,Nanana's Buried Treasure,PV,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,6.55,29001,3765,5839,18,14164,"Promotion video for Kazuma Ootorino's light novel Ryuugajou Nanana no Maizoukin, commissioned by Enterbrain after Ootorino won the 13th Entertainment Awards Grand Prize (Entame Taishou) from the publisher's light novel department.",,2011,2011-12-26,,A-1 Pictures,Comedy;Supernatural,5
13541,Rui no Masaiban,,PV,Other,1,Finished Airing,False,PG-13 - Teens 13 or older,4.97,29002,261,15815,0,634,"The animated promotional video for the drama CD Rui no Masaiban (Rui's Magical Trials). The original dark fantasy story revolves around Rui, the youngest ever magical judge who weighs the fate of demons.

(Source: ANN)",,2012,2012-02-01,,,Fantasy,6
13795,The Green Wind,The Green Wind,PV,Other,1,Finished Airing,False,G - All Ages,4.99,29009,473,14467,0,919,"Promotion video for 21st Century Museum of Contemporary Art, Kanazawa.

(Source: aokijun.net)",,2004,2004-10-01,,,Fantasy,7
14123,Pokemon Black and White 2: Introduction Movie,Pokémon Black and White 2: Introduction Movie,PV,Game,1,Finished Airing,False,PG - Children,7.39,29019,10355,5258,18,18611,Promotional short for Pokemon Black and White 2.,,2012,2012-05-16,,OLM,Action;Fantasy,8
14359,Vocaloid China Project Senden Animation,,PV,Original,5,Finished Airing,False,G - All Ages,5.86,29025,986,10614,6,2885,A 3-minute full animation promotion video series of the Chinese Vocaloid 3 Package.,,2012,2012-06-07,2012-11-14,Seven Stone Entertainment,Fantasy,9
14663,Queen's Blade Rebellion vs. Hagure Yuusha no Aesthetica,,PV,Other,1,Finished Airing,False,R+ - Mild Nudity,6.06,29033,6586,5654,9,15299,"A promotional video for Hagure Yuusha no Estetica, with a little battle against Queen's Blade: Rebellion characters, as the first part. 

The second part is the real preview Hagure Yuusha no Estetica.",,2012,2012-06-27,,Arms,Action;Fantasy;Ecchi,10
