id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
44087,Gintama: The Semi-Final,,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,8.46,161,42201,2475,259,83058,"As the war temporarily calms down and Edo rebuilds, Gintoki finds Shinpachi—who is still unaware of his return—on a bridge. However, as a fight quickly breaks out between the Yorozuya and the Tenshouin Naraku, suspicion grows, forcing Gintoki to use what is nearest—a loincloth—to mask his identity. Saved for the time being, Gintoki enters the Yorozuya office, but unbeknownst to him, someone else is already waiting there...

Meanwhile, Kondou departs Earth to marry Princess Bubbles in an attempt to improve diplomatic relations. After boarding the Gorilla Amanto mother ship, he realizes that he doesn't speak their language. Confused, Kondou tries conversing with them, only to inadvertently gain their support. However, someone associated with the princess crashes the ongoing ceremony. Will the wedding continue, or has Kondou just been saved from becoming the next Gorilla Prince?

[Written by MAL Rewrite]",,2021,2021-01-15,2021-01-20,Bandai Namco Pictures,Action;Comedy,1
36275,Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,8.4,198,22506,3294,77,50067,"Suzunaru no Kirikabu 
On a hot summer day, Takashi Natsume and his feline companion Madara take a walk to buy jelly. Suddenly a truck passes the two, running over an old, masked man who asks Natsume for help. The mysterious individual turns out to be a youkai, the spirit of the Suzunaru tree that was recently hit by lightning and cut down. As the tree withers away, the youkai requests Natsume to fulfill his one final wish: to bring him water every day until he draws his last breath.

Mugen no Kakera 
Tamami, a young schoolgirl, counts her steps through a forest, following instructions on a piece of paper. She stops to take a break and falls asleep but is awakened by an odd talking cat. Through meeting the cat and his human partner, Natsume, she learns that the forest has its own separate world from the contemporary, where one can see things otherwise invisible. Putting her trust in the duo, Tamami tells them about the story of how she helped a white owl that reappeared in her dreams to lead her back inside the bizarre forest.

[Written by MAL Rewrite]",,2017,2017-09-27,2017-10-25,Shuka,Slice of Life;Supernatural,2
6945,Gintama: Shiroyasha Koutan,Gintama: Jump Festa 2008 Special,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.36,229,35413,2710,92,72098,"According to Aniplex, a 10min short anime of Gintama ""Shiroyasha Koutan"" will be released on September 30th. It was shown at Jump Super Anime Tour 2008 and had never been released as a DVD.

It's a trailer of an imaginary Gintama movie. Gintama OVA shown at Jump Anime Tour '05 is also included in the DVD.",,2008,2008-09-21,,Sunrise,Action;Comedy;Sci-Fi,3
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",Special,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,8.34,241,207982,722,940,347484,"The CH Postal Company has just received a request to transcribe a love letter from Irma Felice, a famous opera singer. Accepting the task, Violet Evergarden visits Irma to write her letter. However, not only does Irma provide little information, she asks Violet to write based on her own feelings. Despite Violet's numerous attempts, Irma finds every version of the letter inadequate.

Violet consults her colleagues, and they help her out by writing love letters of their own. Yet even those are rejected by the opera singer. As a last resort, Violet asks Irma for her true thoughts and feelings, hoping to find the missing puzzle piece. Will the Auto Memory Doll be able to translate Irma's emotions into words?

[Written by MAL Rewrite]",,2018,2018-07-04,,Kyoto Animation,Drama,4
53672,Violet Evergarden: Recollections,Violet Evergarden: Recollections,Special,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,8.34,242,11561,3870,158,36821,Recap of Violet Evergarden.,,2021,2021-10-29,,Kyoto Animation,Drama,5
34534,Natsume Yuujinchou Go Specials,Natsume's Book of Friends Season 5 Specials,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,8.31,268,22753,3331,64,48882,"One Night Sake Cup 
On his way back home from an errand, Takashi Natsume gets lost in the forest. Luckily, he is rescued by a traveling youkai couple who make sake cups for a living. Taking a sip of water from one, Natsume feels a surge of energy rush throughout his body, thanks to the ""One Night Cup."" It is a special cup that makes every drink delicious, but unfortunately, its effects last only for one night. The following day, Natsume attends the youkai banquet with his loyal protector, the sake-loving chubby cat Madara, and gets the once-in-a-lifetime opportunity to learn how to make sake cups.

Party of Fun &amp; Games
Natsume is filled with regret after hastily declining a rare invitation to a banquet from Madara. Curious, he chases after the cat to an old, run-down mansion but soon enough feels the uncanny presence of numerous youkai nearby. When he runs into the seductive youkai Hinoe, she explains that the empty estate serves as a hide-and-seek playground where the winning spirit acquires authority over a valley. With still no trace of Madara, Natsume starts having eerie dreams of the mansion, but this time as the game's participant.

[Written by MAL Rewrite]",,2017,2017-03-30,2017-04-26,Shuka,Slice of Life;Supernatural,6
10863,Steins;Gate: Oukoubakko no Poriomania,Steins;Gate: Egoistic Poriomania,Special,Visual novel,1,Finished Airing,False,PG-13 - Teens 13 or older,8.29,290,284010,530,867,451783,"A few months after the events of Steins;Gate, Rintarou Okabe and his group of friends are invited to tag along with their acquaintance Faris NyanNyan, who is participating in a Rai-Net battle event in the United States. There, they meet up with an old colleague: Kurisu Makise, who has been recalling fragmented memories of events that happened in the other world lines in the form of dreams. She confronts Okabe, questioning him as to whether these events—particularly the incidents between the two of them—did indeed happen.

[Written by MAL Rewrite]",,2012,2012-02-22,,White Fox,Comedy;Sci-Fi,7
9735,Gintama: Shinyaku Benizakura-hen,,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.28,297,20054,3482,53,45231,"It's the running gag of Ben Johnson episode where animation staff reuse the New Years footage; Yorozuya would sit around the kotatsu eating a bowl of tangerines. They discuss elaborate subjects, Shinpachi complains about reusing animation footage, and then Gin-chan always ending the gag with a pointless announcement.",,2010,2010-12-15,,Sunrise,Action;Comedy;Sci-Fi,8
35466,ReLIFE: Kanketsu-hen,ReLIFE: Final Arc,Special,Web manga,4,Finished Airing,False,PG-13 - Teens 13 or older,8.2,390,247615,583,1978,415978,"After reliving the life of a high school student through the ReLIFE experiment, 27-year-old Arata Kaizaki cannot believe how quickly it has changed him. He has begun to see the world through a different perspective that he had completely forgotten as an adult. He has made friends and formed deep relationships with each one of them. However his support, Ryou Yoake, reminds him that the experiment is all an illusion; after his experiment ends, he will be forgotten by all of them.

The experiment of another ReLIFE subject is also coming to an end. After spending two years with ReLIFE, Chizuru Hishiro has developed into a more open, more thoughtful person than she could have ever imagined. She has met people who have changed her life, her perspective, and ultimately her. However, now that their ReLIFE is coming to an end, will they be able to let go of the memories they have made?

[Written by MAL Rewrite]",,2018,2018-03-21,,TMS Entertainment,Drama;Romance,9
31715,Working!!! Lord of the Takanashi,,Special,4-koma manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.13,489,59473,2125,213,105057,"The light-hearted Working!! franchise comes to a close in this final episode of the concluding season. Will Aoi Yamada get the closure she so desperately needs with her distant mother? Will the relationship between Yachiyo Todoroki and Jun Satou continue to remain stagnant and awkward? Perhaps even Souta Takanashi and Mahiru Inami will take a step forward in deepening their eccentric friendship. And in the end, Wagnaria Restaurant might finally get a new chief!

Beautifully connected, all these events intertwine to give these characters a final ending to their stories.

[Written by MAL Rewrite]",,2016,2016-03-30,,A-1 Pictures,Comedy;Romance,10
