id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
60022,One Piece Fan Letter,,TV Special,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,9.07,3,61789,2516,1870,80957,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. 

One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat crew. Determined to deliver a fan letter to her idol, the Sabaody child is prepared to challenge forces of authority who strive to prevent Luffy and his friends from departing for their next destination: the New World. But to succeed, Nami's fan may need to risk her life and interfere with the Marines' plans, potentially causing devastating consequences for the wider world.

[Written by MAL Rewrite]",,2024,2024-10-20,,Toei Animation,Action;Adventure;Fantasy,1
35247,Owarimonogatari 2nd Season,Owarimonogatari Second Season,TV Special,Light novel,7,Finished Airing,False,R - 17+ (violence & profanity),8.87,25,199752,589,8867,413590,"Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.  

Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.

[Written by MAL Rewrite]",,2017,2017-08-12,2017-08-13,Shaft,Comedy;Mystery;Supernatural,2
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,TV Special,Manga,2,Finished Airing,False,R - 17+ (violence & profanity),8.87,26,433776,291,16206,729824,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process.

As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people.

The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom.

[Written by MAL Rewrite]",,2023,2023-03-04,2023-11-05,MAPPA,Action;Drama;Suspense,3
21329,Mushishi: Hihamukage,Mushi-shi: The Shadow that Devours the Sun,TV Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.53,129,69635,1683,203,144439,"The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath.

Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light.

[Written by MAL Rewrite]",,2014,2014-01-04,,Artland,Adventure;Mystery;Slice of Life;Supernatural,4
24687,Mushishi Zoku Shou: Odoro no Michi,Mushi-shi Path of Thorns,TV Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.43,178,51492,2130,125,104877,"Mysterious, unknowable creatures alien to the laws of nature—known only to some and feared by others—""Mushi"" lie behind many of life's strange phenomena.

Long ago, a Mushi of terrifying power threatened to extinguish all life. The Minai clan of Mushishi were born from those who stopped this malevolent force, their members bound by duty to serve as retainers to the Karibusa family, within whom the Mushi remains sealed. The Mushishi Ginko is given a job request from Tanyuu Karibusa: oversee the work of the head of the Minai clan, Kumado Minai, in investigating an abandoned village where dead wood and even houses spring back to life as flourishing plants.

Though the Minai clan are oddly ruthless among Mushishi, even more peculiar is their widespread dull character, with little appreciation for beauty or sentiment. Tanyuu believes there is more to this trend than meets the eye. Ginko aims to answer her curiosity as he follows Kumado into a ""Path of Thorns,"" a place where Mushi flow from their own strange sources into the world of the living. Rare and deadly varieties of Mushi lurk in these depths, along with the secret nature of the Minai clan's resolve to their ancient task.

[Written by MAL Rewrite]",,2014,2014-08-20,,Artland,Adventure;Mystery;Slice of Life;Supernatural,5
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Steins;Gate: Open the Missing Link - Divide By Zero,TV Special,Visual novel,1,Finished Airing,False,PG-13 - Teens 13 or older,8.26,321,152033,937,452,272345,"Having reached his emotional breaking point, Rintarou Okabe refuses to continue aiding time traveler Suzuha Amane in her mission to prevent World War III, believing any further efforts to save Makise Kurisu will be in vain. Shortly after, Okabe abandons his mad scientist persona and becomes a seemingly regular university student. 

Okabe's close friend Mayuri Shiina perceives him to be recovering from his trauma and is visibly happy. However, something still seems to be bothering Okabe. Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero marks the beginning of a critical divergence—a timeline in which the burden of fate escalates beyond one's limits.

[Written by MAL Rewrite]",,2015,2015-12-03,,White Fox,Sci-Fi;Suspense,6
264,Hajime no Ippo: Champion Road,Fighting Spirit: Champion Road,TV Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.26,326,88542,1668,258,145782,"The challenger has become the champion as Ippo Makunouchi now wears the featherweight championship belt of Japan. 
Some time has passed since Ippo's victory, and he has found his friends and coach as supportive as ever; his crush, Kumi Mashiba, seems to enjoy spending time with him as well. Things are looking bright for the new champion, but just as he once set his sights on becoming the best, his first challenger poses an intimidating threat. 

Kazuki Sanada works as a doctor at the same hospital as Kumi and fights strategically. Known for integrating his knowledge of the human body into his fights, Sanada is a fearsome contender—however, more unnerving than his physical ability, he has garnered the support of the nurses. Despite being the champion, Ippo feels the pressure as he must face the daunting challenge, retain his belt, and win over the girl he loves.

[Written by MAL Rewrite]",,2003,2003-04-18,,Madhouse,Sports,7
34036,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,Detective Conan: Episode One - The Great Detective Turned Small,TV Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.24,346,15644,4135,64,32415,"The ""real"" episode 1 of Meitantei Conan written by the Mangaka Gosho Aoyama.",,2016,2016-12-09,,TMS Entertainment,Adventure;Comedy;Mystery,8
38249,Saiki Kusuo no Ψ-nan: Kanketsu-hen,The Disastrous Life of Saiki K. Final Arc,TV Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,8.2,391,137634,1117,409,231173,"The ground shakes, a rumble follows, and before anyone in Japan can prepare themselves, a cataclysmic volcanic eruption engulfs the country in molten lava and suffocating ashes. Of course, high school student Kusou Saiki repeatedly uses his psychic powers to prevent this harrowing catastrophe.

But between restoring the planet and watching his friends discuss their aspirations, Saiki finally resolves to stop the eruption and allow the world to continue spinning. However, this straightforward task is challenging even for the most powerful of psychics, let alone one who must deal with the usual shenanigans his ludicrous friends present.

[Written by MAL Rewrite]",,2018,2018-12-28,,J.C.Staff;Egg Firm,Comedy,9
53127,Fate/strange Fake: Whispers of Dawn,Fate/strange Fake: Whispers of Dawn,TV Special,Light novel,1,Finished Airing,False,R - 17+ (violence & profanity),8.19,404,44753,2355,363,89460,"In the American city of Snowfield, a new Holy Grail War is about to erupt. Such ruthless confrontations pit against each other magic experts known as magi, who ascend to the status of Master by summoning Servants—heroic spirits of the past. The winner is thought to have any one of their wishes granted.

However, it appears that the organization behind the present situation has merely managed to create an imperfect copy of the Third Holy Grail War. As the unusual ritual catches the attention of the Mage's Association in London, Flatt Escardos, the young apprentice of Lord El-Melloi II—a former participant of the Fourth Holy Grail War—travels to Snowfield and, to the great dismay of his teacher, joins the ranks of the Masters.

In this fake conflict where the line between Masters and Servants is blurred, the different factions will have a hard time preventing the city of Snowfield from plunging into total chaos.

[Written by MAL Rewrite]",,2023,2023-07-02,,A-1 Pictures,Action;Fantasy,10
