id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
7398,Sekai Meisaku Douwa,World Famous Fairy Tale Series,unknown,Unknown,20,Finished Airing,False,G - All Ages,6.02,9789,199,14681,2,868,"Another of Toei's World Famous Fairy Tale series consisting of 20 stories, 10 minutes each. 

(Source: AniDB)",,1975,1975-10-01,1983-02-01,,Fantasy,1
43629,Tokyo Babylon 2021,,unknown,Manga,0,Not yet aired,False,no_rating,0.0,31268,0,6718,12,10035,"Subaru Sumeragi is the thirteenth head of his powerful onmyouji clan. Until the time comes when he must succeed his grandmother fully, Subaru is allowed to live in Tokyo with his fraternal twin Hokuto. While Subaru is kind and shy, Hokuto has exuberance to spare, and her favorite pastime is designing bold matching outfits for the two of them to wear. Her next favorite thing to do is try to set up Subaru with their veterinarian friend Seishirou Sakurazuka who, oddly enough, is always readily available to accompany the Sumeragis throughout the city.

Subaru has to resolve a variety of spiritual conflicts in Tokyo: some are cases formally brought to him by clients, and others are matters in which he decides to involve himself. A selfless teenager, he empathizes with others to the point that their pain may as well be his own. This leaves him vulnerable in a city where nearly everyone makes decisions that only benefit themselves as individuals. Hokuto hopes that if Subaru develops feelings for Seishirou, their relationship will be the one thing that he never gives up for the sake of anyone else. However, is Seishirou the best candidate for her brother's love, or is he hiding sinister secrets?

[Written by MAL Rewrite]",,0,,,,Boys Love;Drama;Supernatural,2
46488,Tai-Ari deshita.: Ojousama wa Kakutou Game nante Shinai,Young Ladies Don't Play Fighting Games,unknown,Manga,0,Not yet aired,False,no_rating,0.0,31324,0,7604,15,7337,"A hot fighting game played at the girls' school!!

Aya transferred into Kuromi Girls Academy a month ago with the goal of changing herself into a proper lady. After meeting the breathtaking Shirayuri, Aya is blown away by her elegance and posterity. Imagine her surprise when she finds Shirayuri after school playing... a fighting game?! And if that wasn't perplexing enough, she is challenged to a duel by the unladylike Shirayuri! 

(Source: MU)",,0,,,,Comedy;Girls Love,3
48701,Peleliu: Rakuen no Guernica,,unknown,Manga,0,Not yet aired,False,no_rating,0.0,31387,0,16009,1,606,"Shouwa 19 (1944), summer. Tamaru, a soldier who aspired to be a manga artist, was on Peleliu Island at the end of the Pacific War. The island was a paradise covered with beautiful forests and surrounded by a sea of coral reefs. It was also a battlefield on which 50,000 soldiers from Japan and the United States killed each other. At that time, 40,000 elite US troops invaded in an attempt to seize the airfield, which was touted as the best in East Asia. A garrison of 10,000 Japanese troops was ordered to meet the aggressors and ""thoroughly endure"" the attack. What did they fight for and what was on their minds on this small island far from their homeland?!? A long-forgotten record of truth from young people who lived in the ""war"" era! 

(Source: Hakusensha, translated)",,0,,,,Drama,4
49703,Fate/kaleid liner Prisma☆Illya (Zoku-hen),,unknown,Manga,0,Not yet aired,False,no_rating,0.0,31492,0,6069,19,12763,Sequel to Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo.,,0,,,,Action,5
52293,New Panty & Stocking with Garterbelt,,unknown,Original,0,Not yet aired,False,R - 17+ (violence & profanity),0.0,31931,0,4098,106,33073,,,2025,2025-01-01,,Trigger,Action;Comedy;Fantasy;Ecchi,6
53512,Busu ni Hanataba wo.,,unknown,Manga,0,Not yet aired,False,no_rating,0.0,32218,0,9100,27,4653,"Despite what the meaning of her name would suggest, Hana Tabata bears no resemblance to a flower. Her eyes are too small and her limbs are far from slender. She is, in fact, ""ugly,"" and as such, knows that cute things and a fairy-tale romance are out of her reach. Yet this does not stop her from daydreaming every morning as she tends to the school's beautiful flower beds that contrast her appearance.

One day, a casual encounter puts Tabata in contact with her classmate, Yousuke Ueno, who is well known for being both handsome and extremely kind. Why would such a popular student associate with a background character like her? To Tabata, it is an unfathomable situation, but can Ueno show her that looks aren't everything?

[Written by MAL Rewrite]",,0,,,,Comedy;Romance,7
53732,Hidarikiki no Eren,Eren the Southpaw,unknown,Manga,0,Not yet aired,False,no_rating,0.0,32253,0,15713,0,650,"Asakura Koichi works as a designer at an advertising agency. Even though he works very hard, he does not receive recognition at his job. He is frustrated by his circumstances and he decides to visit a place from his school days, involving Yamagishi Eren.

Meanwhile, Yamagishi Eren has the nickname ""Hidarikiki"" (""The Southpaw"") and is a painter in New York. She is gifted as a painter, but due to her genius-like talent, she suffers. 

(Source: MyDramaList, edited)",,0,,,,Slice of Life,8
54250,Made in Abyss: Retsujitsu no Ougonkyou (Zoku-hen),Made in Abyss: The Golden City of the Scorching Sun (Sequel),unknown,Web manga,0,Not yet aired,False,R - 17+ (violence & profanity),0.0,32393,0,3657,86,41370,Sequel to Made in Abyss: Retsujitsu no Ougonkyou.,,0,,,,Adventure;Drama;Fantasy;Mystery;Sci-Fi,9
54440,Lycoris Recoil (Shinsaku Animation),,unknown,Original,0,Not yet aired,False,PG-13 - Teens 13 or older,0.0,32425,0,3807,116,38303,Lycoris Recoil new anime project.,,0,,,,Action,10
